TerritoryID,SalesOrderID,Region,CountryCode,Group,TotalSales
4,51131,Southwest,US,North America,163930.3943
4,55282,Southwest,US,North America,160378.3913
3,51822,Central,US,North America,128873.2206
7,57150,France,FR,Europe,122285.724
7,51858,France,FR,Europe,122284.4578
10,53573,United Kingdom,GB,Europe,115310.4777
1,51830,Northwest,US,North America,112611.9697
3,57186,Central,US,North America,112044.8055
7,51739,France,FR,Europe,111036.9487
1,57105,Northwest,US,North America,110050.8354
4,51126,Southwest,US,North America,108651.1426
7,63284,France,FR,Europe,108184.104
1,51783,Northwest,US,North America,107270.1188
4,53621,Southwest,US,North America,106929.5461
2,53506,Northeast,US,North America,105505.3991
4,50289,Southwest,US,North America,105310.5088
2,50683,Northeast,US,North America,104482.9633
3,63291,Central,US,North America,104325.1067
4,53460,Southwest,US,North America,104273.0197
8,55254,Germany,DE,Europe,104153.3951
1,50297,Northwest,US,North America,103362.3362
1,51711,Northwest,US,North America,101609.2864
8,51761,Germany,DE,Europe,101223.4606
6,51160,Canada,CA,North America,98630.2745
10,51823,United Kingdom,GB,Europe,98066.5013
6,51132,Canada,CA,North America,97972.1953
4,49884,Southwest,US,North America,97791.621
6,58980,Canada,CA,North America,97647.72
6,50204,Canada,CA,North America,97597.1168
1,51721,Northwest,US,North America,97526.0759
2,49888,Northeast,US,North America,96605.9056
6,53535,Canada,CA,North America,96485.4353
5,50726,Southeast,US,North America,96011.0908
6,50694,Canada,CA,North America,95434.9101
4,50252,Southwest,US,North America,95415.1188
4,50208,Southwest,US,North America,94673.1417
4,61184,Southwest,US,North America,94493.6651
7,51857,France,FR,Europe,94139.2728
7,50222,France,FR,Europe,93455.6598
7,57143,France,FR,Europe,93397.7361
1,51123,Northwest,US,North America,93397.6369
7,57054,France,FR,Europe,93077.7178
3,50304,Central,US,North America,93032.5066
10,53458,United Kingdom,GB,Europe,92278.0501
10,53472,United Kingdom,GB,Europe,92141.4113
4,51153,Southwest,US,North America,90421.7887
7,53497,France,FR,Europe,90020.6146
5,49509,Southeast,US,North America,89758.5394
3,49837,Central,US,North America,89596.3322
6,49828,Canada,CA,North America,88328.0713
1,53518,Northwest,US,North America,87783.9431
4,50663,Southwest,US,North America,87340.1019
1,63131,Northwest,US,North America,86975.0655
1,57136,Northwest,US,North America,86381.381
6,49485,Canada,CA,North America,86352.4057
6,49856,Canada,CA,North America,86085.8004
7,51735,France,FR,Europe,85091.667
7,51734,France,FR,Europe,84756.2421
6,53465,Canada,CA,North America,84713.7665
10,58920,United Kingdom,GB,Europe,84413.16
1,63224,Northwest,US,North America,81696.606
10,53562,United Kingdom,GB,Europe,81476.3709
5,53563,Southeast,US,North America,81431.7128
6,51096,Canada,CA,North America,81230.9424
6,58972,Canada,CA,North America,80691.0075
2,49479,Northeast,US,North America,80564.8492
2,49843,Northeast,US,North America,80512.2219
4,51121,Southwest,US,North America,79635.122
8,57012,Germany,DE,Europe,79548.7562
4,50672,Southwest,US,North America,78942.2843
4,51714,Southwest,US,North America,78790.812
6,49879,Canada,CA,North America,78405.7478
4,49821,Southwest,US,North America,78175.0524
1,50270,Northwest,US,North America,78041.5646
1,58963,Northwest,US,North America,77475.2281
6,55297,Canada,CA,North America,77394.5591
6,51124,Canada,CA,North America,77253.4169
4,51090,Southwest,US,North America,77241.2964
4,57034,Southwest,US,North America,76571.586
5,53530,Southeast,US,North America,75647.3619
7,57051,France,FR,Europe,75145.2966
1,49844,Northwest,US,North America,75104.6539
4,55276,Southwest,US,North America,74321.3769
7,57061,France,FR,Europe,74298.5404
1,51089,Northwest,US,North America,74149.9515
1,49826,Northwest,US,North America,73963.2625
6,53527,Canada,CA,North America,73920.7391
4,58909,Southwest,US,North America,73605.9574
4,51745,Southwest,US,North America,73437.9329
4,63201,Southwest,US,North America,73270.506
1,57046,Northwest,US,North America,73114.151
8,63171,Germany,DE,Europe,73016.5967
4,51855,Southwest,US,North America,72616.5242
6,58932,Canada,CA,North America,71891.3168
10,59064,United Kingdom,GB,Europe,71884.6078
10,58908,United Kingdom,GB,Europe,71774.1812
3,50322,Central,US,North America,71610.9964
3,51105,Central,US,North America,71513.4488
1,51826,Northwest,US,North America,71283.2401
1,51127,Northwest,US,North America,71235.1175
2,51860,Northeast,US,North America,71029.152
4,61200,Southwest,US,North America,70731.3713
10,57180,United Kingdom,GB,Europe,70336.8619
2,58950,Northeast,US,North America,70286.7015
6,58914,Canada,CA,North America,69894.042
4,50310,Southwest,US,North America,69705.7546
4,53616,Southwest,US,North America,68906.6458
4,59068,Southwest,US,North America,68640.1406
8,51837,Germany,DE,Europe,68473.2873
6,55280,Canada,CA,North America,68404.626
2,50312,Northeast,US,North America,68243.9474
6,55245,Canada,CA,North America,67815.5873
7,50225,France,FR,Europe,67717.6755
3,55257,Central,US,North America,67686.0209
8,51109,Germany,DE,Europe,66934.7011
1,53605,Northwest,US,North America,66871.8419
6,51850,Canada,CA,North America,66845.6546
7,63282,France,FR,Europe,66375.648
3,51828,Central,US,North America,66047.3337
3,51151,Central,US,North America,64785.1613
6,55275,Canada,CA,North America,64654.2775
6,53464,Canada,CA,North America,64152.0919
4,55264,Southwest,US,North America,63981.9338
3,57041,Central,US,North America,63878.778
2,53570,Northeast,US,North America,63707.6101
9,53566,Australia,AU,Pacific,63669.48
1,57030,Northwest,US,North America,63339.258
8,59044,Germany,DE,Europe,63244.416
3,53590,Central,US,North America,62895.5616
4,55303,Southwest,US,North America,62744.624
4,57062,Southwest,US,North America,62739.666
8,51169,Germany,DE,Europe,62654.9612
3,61189,Central,US,North America,61946.28
4,53614,Southwest,US,North America,61251.456
6,58918,Canada,CA,North America,61161.9757
4,55233,Southwest,US,North America,61119.642
6,53483,Canada,CA,North America,61044.4562
4,51122,Southwest,US,North America,60843.8315
1,55241,Northwest,US,North America,60519.9533
1,51789,Northwest,US,North America,60425.9465
4,63213,Southwest,US,North America,60119.022
7,58943,France,FR,Europe,59860.276
1,50206,Northwest,US,North America,59836.4792
6,50668,Canada,CA,North America,59466.419
10,51143,United Kingdom,GB,Europe,59333.5671
6,49848,Canada,CA,North America,59222.562
8,51751,Germany,DE,Europe,58320.1019
4,50688,Southwest,US,North America,58120.4322
5,50703,Southeast,US,North America,58041.2413
3,51140,Central,US,North America,57950.2044
10,59063,United Kingdom,GB,Europe,57816.258
9,53485,Australia,AU,Pacific,57771.7641
1,55277,Northwest,US,North America,57550.3179
4,61227,Southwest,US,North America,57449.604
1,61199,Northwest,US,North America,57374.4399
7,51752,France,FR,Europe,57263.2706
9,51814,Australia,AU,Pacific,57103.0684
5,51147,Southeast,US,North America,57068.3685
4,49498,Southwest,US,North America,57027.7694
10,51120,United Kingdom,GB,Europe,56981.3473
3,49870,Central,US,North America,56816.9351
6,58958,Canada,CA,North America,56647.6403
1,58962,Northwest,US,North America,56579.796
4,53470,Southwest,US,North America,56184.0389
4,61193,Southwest,US,North America,56181.095
4,50226,Southwest,US,North America,56174.6585
5,59071,Southeast,US,North America,56123.088
4,51825,Southwest,US,North America,55934.058
1,58961,Northwest,US,North America,55710.618
6,51769,Canada,CA,North America,55641.332
1,53514,Northwest,US,North America,55103.4671
1,61244,Northwest,US,North America,54955.896
10,63241,United Kingdom,GB,Europe,54904.38
1,55299,Northwest,US,North America,54459.504
3,63257,Central,US,North America,54368.508
4,51154,Southwest,US,North America,54253.0364
1,57099,Northwest,US,North America,53919.8993
4,57168,Southwest,US,North America,53900.4608
2,51748,Northeast,US,North America,53853.9505
10,59008,United Kingdom,GB,Europe,53598.63
5,53524,Southeast,US,North America,53584.4454
2,53560,Northeast,US,North America,53277.6924
4,50313,Southwest,US,North America,53097.089
5,51824,Southeast,US,North America,53024.0016
1,53452,Northwest,US,North America,52952.3583
2,59012,Northeast,US,North America,52723.9762
1,61182,Northwest,US,North America,52697.2377
4,58919,Southwest,US,North America,52370.7113
3,51716,Central,US,North America,52140.0648
4,50753,Southwest,US,North America,52108.7806
3,51720,Central,US,North America,51742.386
4,53583,Southwest,US,North America,51395.322
3,57121,Central,US,North America,51377.0302
4,55249,Southwest,US,North America,51341.6887
6,61248,Canada,CA,North America,51324.1945
9,57075,Australia,AU,Pacific,50982.798
4,50214,Southwest,US,North America,50702.1158
6,58956,Canada,CA,North America,50668.986
2,51157,Northeast,US,North America,50576.574
1,63149,Northwest,US,North America,50489.2921
6,51703,Canada,CA,North America,50300.616
4,51106,Southwest,US,North America,50161.4111
7,57086,France,FR,Europe,50012.2575
10,50722,United Kingdom,GB,Europe,49862.2699
1,51146,Northwest,US,North America,49685.6585
1,55269,Northwest,US,North America,49597.4077
1,53571,Northwest,US,North America,49517.6753
6,51092,Canada,CA,North America,49426.411
1,51726,Northwest,US,North America,49258.2807
1,57045,Northwest,US,North America,49178.526
1,49849,Northwest,US,North America,49152.4316
4,61188,Southwest,US,North America,49123.686
9,58931,Australia,AU,Pacific,49053.4638
3,53561,Central,US,North America,48717.09
1,63157,Northwest,US,North America,48522.8138
5,55234,Southeast,US,North America,48189.4814
4,49831,Southwest,US,North America,47965.2654
6,53513,Canada,CA,North America,47813.2429
8,55309,Germany,DE,Europe,47758.7523
1,55325,Northwest,US,North America,47522.982
4,63285,Southwest,US,North America,47450.61
7,51774,France,FR,Europe,47410.2927
6,49501,Canada,CA,North America,47271.1253
3,50696,Central,US,North America,47192.4665
10,49510,United Kingdom,GB,Europe,47084.1057
1,53457,Northwest,US,North America,47000.9618
2,50259,Northeast,US,North America,46990.45
8,53520,Germany,DE,Europe,46703.1548
4,53606,Southwest,US,North America,46694.2363
10,57080,United Kingdom,GB,Europe,46675.7715
2,51762,Northeast,US,North America,46582.4759
1,59031,Northwest,US,North America,46448.562
4,51845,Southwest,US,North America,46428.3351
5,51137,Southeast,US,North America,46420.614
2,55301,Northeast,US,North America,46412.8153
6,50689,Canada,CA,North America,46260.7274
4,63252,Southwest,US,North America,46031.082
2,49864,Northeast,US,North America,45918.6785
6,50265,Canada,CA,North America,45840.9314
2,51810,Northeast,US,North America,45822.421
5,50231,Southeast,US,North America,45752.4717
2,50727,Northeast,US,North America,45716.9177
1,50314,Northwest,US,North America,45674.4609
6,49480,Canada,CA,North America,45662.0012
4,55256,Southwest,US,North America,45633.21
5,49836,Southeast,US,North America,45571.035
7,63216,France,FR,Europe,45534.2812
3,50221,Central,US,North America,44987.8766
1,59021,Northwest,US,North America,44961.0181
6,63177,Canada,CA,North America,44907.516
4,50272,Southwest,US,North America,44893.2146
6,50284,Canada,CA,North America,44798.9579
7,63204,France,FR,Europe,44660.778
4,51842,Southwest,US,North America,44628.9968
10,50728,United Kingdom,GB,Europe,44597.1778
4,57145,Southwest,US,North America,44595.30
3,50712,Central,US,North America,44541.9552
3,59040,Central,US,North America,44500.45
6,53510,Canada,CA,North America,44411.3304
4,49490,Southwest,US,North America,44295.8324
1,50321,Northwest,US,North America,44161.7113
6,51832,Canada,CA,North America,44160.5991
1,53576,Northwest,US,North America,44050.2084
3,53480,Central,US,North America,44021.7035
4,51809,Southwest,US,North America,43997.5604
7,58927,France,FR,Europe,43977.8958
6,51772,Canada,CA,North America,43789.848
6,49496,Canada,CA,North America,43758.0999
4,50738,Southwest,US,North America,43678.96
4,49841,Southwest,US,North America,43579.4597
3,58906,Central,US,North America,43451.70
6,53536,Canada,CA,North America,43253.7414
10,50244,United Kingdom,GB,Europe,43180.9774
10,58905,United Kingdom,GB,Europe,43152.291
2,57141,Northeast,US,North America,43072.692
1,53613,Northwest,US,North America,43013.4036
10,53577,United Kingdom,GB,Europe,42858.2133
6,51839,Canada,CA,North America,42829.6815
4,49890,Southwest,US,North America,42653.9411
10,49891,United Kingdom,GB,Europe,42641.7932
4,50301,Southwest,US,North America,42528.456
5,49865,Southeast,US,North America,42502.1691
6,50664,Canada,CA,North America,42464.0041
5,51760,Southeast,US,North America,42188.4683
4,55251,Southwest,US,North America,41830.7841
4,61218,Southwest,US,North America,41791.007
4,50298,Southwest,US,North America,41637.5885
3,49502,Central,US,North America,41602.4379
6,51755,Canada,CA,North America,41563.506
4,50292,Southwest,US,North America,41211.6058
7,50673,France,FR,Europe,41158.8457
1,51148,Northwest,US,North America,41100.9587
3,49465,Central,US,North America,41071.8424
1,59010,Northwest,US,North America,40967.2231
6,51130,Canada,CA,North America,40912.524
4,57128,Southwest,US,North America,40829.652
1,58946,Northwest,US,North America,40802.2349
8,53505,Germany,DE,Europe,40683.5406
6,55287,Canada,CA,North America,40611.4141
5,50191,Southeast,US,North America,40518.0541
6,57154,Canada,CA,North America,40467.3232
8,57132,Germany,DE,Europe,40456.9125
3,57037,Central,US,North America,40438.7655
4,49532,Southwest,US,North America,40310.0159
1,53500,Northwest,US,North America,40271.493
2,49894,Northeast,US,North America,40267.242
3,53454,Central,US,North America,40255.9142
9,59018,Australia,AU,Pacific,40106.82
10,51763,United Kingdom,GB,Europe,40093.4149
1,61195,Northwest,US,North America,40026.1913
4,57042,Southwest,US,North America,39988.776
7,53478,France,FR,Europe,39923.9842
7,63223,France,FR,Europe,39913.8518
10,55268,United Kingdom,GB,Europe,39829.9636
2,55239,Northeast,US,North America,39770.4253
6,51818,Canada,CA,North America,39731.712
4,59027,Southwest,US,North America,39723.714
7,49833,France,FR,Europe,39666.1085
2,55248,Northeast,US,North America,39596.1202
7,53475,France,FR,Europe,39566.3847
6,50203,Canada,CA,North America,39485.6067
1,51838,Northwest,US,North America,39403.722
6,63266,Canada,CA,North America,39392.346
6,49827,Canada,CA,North America,39283.2714
6,61179,Canada,CA,North America,39248.358
4,50748,Southwest,US,North America,39230.5508
6,58930,Canada,CA,North America,39133.98
6,57093,Canada,CA,North America,38991.894
9,51875,Australia,AU,Pacific,38978.1074
7,63179,France,FR,Europe,38840.7408
4,53531,Southwest,US,North America,38783.562
3,50682,Central,US,North America,38777.8774
5,49869,Southeast,US,North America,38642.3176
4,63283,Southwest,US,North America,38575.0104
5,51775,Southeast,US,North America,38544.3379
10,55323,United Kingdom,GB,Europe,38534.6325
3,53471,Central,US,North America,38496.048
2,50235,Northeast,US,North America,38464.61
3,50675,Central,US,North America,38382.5083
6,58981,Canada,CA,North America,38380.9856
4,51722,Southwest,US,North America,38335.386
6,49467,Canada,CA,North America,38254.4351
6,49860,Canada,CA,North America,37997.662
1,57036,Northwest,US,North America,37891.884
7,50681,France,FR,Europe,37815.8335
7,55252,France,FR,Europe,37814.8377
5,50756,Southeast,US,North America,37643.0609
1,51715,Northwest,US,North America,37540.9762
5,57074,Southeast,US,North America,37420.698
4,51836,Southwest,US,North America,37414.848
2,50290,Northeast,US,North America,37329.3665
5,58971,Southeast,US,North America,37323.8223
4,49851,Southwest,US,North America,37216.7222
3,59058,Central,US,North America,37209.60
8,61190,Germany,DE,Europe,37202.7812
6,50687,Canada,CA,North America,37150.2321
1,55291,Northwest,US,North America,37117.648
6,63136,Canada,CA,North America,37100.58
2,51088,Northeast,US,North America,36907.494
1,50210,Northwest,US,North America,36879.256
4,49481,Southwest,US,North America,36850.5686
5,51081,Southeast,US,North America,36701.5004
2,59074,Northeast,US,North America,36682.5594
4,49541,Southwest,US,North America,36603.1395
6,50242,Canada,CA,North America,36530.6354
6,49468,Canada,CA,North America,36476.2562
2,49877,Northeast,US,North America,36459.767
4,53580,Southwest,US,North America,36380.3386
1,58910,Northwest,US,North America,36336.306
4,49832,Southwest,US,North America,36206.1428
4,50747,Southwest,US,North America,36204.2021
6,49855,Canada,CA,North America,36114.8778
5,63281,Southeast,US,North America,36065.916
4,58995,Southwest,US,North America,35834.142
4,51773,Southwest,US,North America,35821.6748
6,55283,Canada,CA,North America,35791.9061
3,58928,Central,US,North America,35758.356
5,55253,Southeast,US,North America,35733.1672
8,57067,Germany,DE,Europe,35714.1622
6,57097,Canada,CA,North America,35695.74
4,63155,Southwest,US,North America,35670.744
3,58944,Central,US,North America,35616.8319
2,59075,Northeast,US,North America,35538.9074
5,51853,Southeast,US,North America,35496.363
3,58996,Central,US,North America,35390.406
2,61224,Northeast,US,North America,35379.504
6,51100,Canada,CA,North America,35151.162
2,51111,Northeast,US,North America,35035.4864
2,51101,Northeast,US,North America,34969.3511
4,50702,Southwest,US,North America,34930.4656
4,49527,Southwest,US,North America,34916.4348
6,50676,Canada,CA,North America,34893.3366
3,53526,Central,US,North America,34891.325
6,53508,Canada,CA,North America,34771.9097
4,59023,Southwest,US,North America,34696.2614
5,58974,Southeast,US,North America,34640.0564
8,59028,Germany,DE,Europe,34591.986
3,58921,Central,US,North America,34435.056
6,57023,Canada,CA,North America,34355.60
10,51771,United Kingdom,GB,Europe,34352.052
1,49464,Northwest,US,North America,34218.0617
3,55294,Central,US,North America,34117.389
1,50218,Northwest,US,North America,34098.5966
2,57065,Northeast,US,North America,34038.2273
4,50745,Southwest,US,North America,33977.5113
10,50662,United Kingdom,GB,Europe,33974.7691
5,51693,Southeast,US,North America,33973.89
4,57137,Southwest,US,North America,33951.63
6,63132,Canada,CA,North America,33904.482
4,53546,Southwest,US,North America,33869.946
8,51155,Germany,DE,Europe,33802.11
4,59011,Southwest,US,North America,33726.9563
7,57055,France,FR,Europe,33674.778
4,51856,Southwest,US,North America,33634.68
7,63210,France,FR,Europe,33632.928
10,53512,United Kingdom,GB,Europe,33631.8982
2,50280,Northeast,US,North America,33630.3655
4,58975,Southwest,US,North America,33623.778
3,57015,Central,US,North America,33608.064
3,53548,Central,US,North America,33592.044
4,50282,Southwest,US,North America,33591.9302
2,49825,Northeast,US,North America,33587.773
6,58957,Canada,CA,North America,33327.266
10,49521,United Kingdom,GB,Europe,33205.2526
7,57068,France,FR,Europe,33186.846
7,51729,France,FR,Europe,32904.684
1,51138,Northwest,US,North America,32901.6223
1,63133,Northwest,US,North America,32820.4567
8,58951,Germany,DE,Europe,32797.2657
6,61186,Canada,CA,North America,32743.566
10,49450,United Kingdom,GB,Europe,32730.2215
3,49499,Central,US,North America,32712.378
6,55243,Canada,CA,North America,32649.4443
4,57134,Southwest,US,North America,32632.896
3,49492,Central,US,North America,32553.2291
5,63124,Southeast,US,North America,32382.306
1,50217,Northwest,US,North America,32359.8822
10,63170,United Kingdom,GB,Europe,32317.23
5,50306,Southeast,US,North America,32258.7344
5,49822,Southeast,US,North America,32230.2682
1,50693,Northwest,US,North America,32195.7427
3,51691,Central,US,North America,32164.548
3,63152,Central,US,North America,32133.228
9,61235,Australia,AU,Pacific,31850.424
5,55328,Southeast,US,North America,31837.456
3,49893,Central,US,North America,31787.5245
6,51793,Canada,CA,North America,31666.098
6,50716,Canada,CA,North America,31643.6024
10,53455,United Kingdom,GB,Europe,31612.0704
9,53502,Australia,AU,Pacific,31604.671
7,49488,France,FR,Europe,31541.5658
6,50245,Canada,CA,North America,31536.6745
4,57144,Southwest,US,North America,31328.4204
2,49518,Northeast,US,North America,31319.6394
5,55331,Southeast,US,North America,31319.184
4,50743,Southwest,US,North America,31201.3606
3,55324,Central,US,North America,30922.3537
4,57157,Southwest,US,North America,30687.702
4,59013,Southwest,US,North America,30541.146
4,51833,Southwest,US,North America,30516.5072
2,61181,Northeast,US,North America,30500.112
4,51102,Southwest,US,North America,30410.736
4,57131,Southwest,US,North America,30407.592
1,57026,Northwest,US,North America,30381.57
2,50263,Northeast,US,North America,30252.3325
1,50209,Northwest,US,North America,30242.8503
5,57118,Southeast,US,North America,30219.69
10,50237,United Kingdom,GB,Europe,30197.6692
3,50189,Central,US,North America,30041.9727
6,51791,Canada,CA,North America,30005.918
4,50294,Southwest,US,North America,29909.6622
4,49515,Southwest,US,North America,29669.6029
6,50195,Canada,CA,North America,29654.2607
8,61263,Germany,DE,Europe,29625.689
3,63194,Central,US,North America,29585.16
3,50661,Central,US,North America,29514.1242
2,55259,Northeast,US,North America,29503.14
9,53541,Australia,AU,Pacific,29423.4996
7,51733,France,FR,Europe,29331.5099
5,61173,Southeast,US,North America,29140.80
4,53459,Southwest,US,North America,29133.471
5,57088,Southeast,US,North America,29123.8334
2,55261,Northeast,US,North America,29025.018
2,53567,Northeast,US,North America,28995.9788
7,51104,France,FR,Europe,28963.5908
9,53565,Australia,AU,Pacific,28920.1932
6,50699,Canada,CA,North America,28916.5984
10,57185,United Kingdom,GB,Europe,28913.67
10,57083,United Kingdom,GB,Europe,28881.966
10,58959,United Kingdom,GB,Europe,28762.3485
6,57161,Canada,CA,North America,28746.594
1,57160,Northwest,US,North America,28744.962
1,57130,Northwest,US,North America,28682.652
8,63233,Germany,DE,Europe,28644.318
6,57120,Canada,CA,North America,28637.52
4,58907,Southwest,US,North America,28413.4274
7,61216,France,FR,Europe,28344.6431
6,57188,Canada,CA,North America,28343.34
2,50228,Northeast,US,North America,28292.153
3,53499,Central,US,North America,28195.896
2,61209,Northeast,US,North America,28194.27
7,63217,France,FR,Europe,28142.442
6,61196,Canada,CA,North America,28038.636
6,53484,Canada,CA,North America,27975.6975
3,58970,Central,US,North America,27951.6011
4,55322,Southwest,US,North America,27947.5878
5,57017,Southeast,US,North America,27729.582
5,58993,Southeast,US,North America,27721.368
4,63262,Southwest,US,North America,27709.218
6,57122,Canada,CA,North America,27643.136
9,58915,Australia,AU,Pacific,27568.494
6,58911,Canada,CA,North America,27499.866
9,55300,Australia,AU,Pacific,27486.99
9,59067,Australia,AU,Pacific,27288.846
2,51112,Northeast,US,North America,27275.3063
1,51712,Northwest,US,North America,27185.7408
9,58922,Australia,AU,Pacific,27159.4908
4,50720,Southwest,US,North America,27105.9276
6,57024,Canada,CA,North America,27089.358
2,63279,Northeast,US,North America,27078.936
3,50213,Central,US,North America,26985.2625
6,49507,Canada,CA,North America,26975.8649
4,57085,Southwest,US,North America,26886.474
1,63247,Northwest,US,North America,26884.59
10,50236,United Kingdom,GB,Europe,26839.0921
6,53456,Canada,CA,North America,26816.5751
5,53474,Southeast,US,North America,26776.3823
10,63173,United Kingdom,GB,Europe,26775.474
2,57076,Northeast,US,North America,26696.46
1,61267,Northwest,US,North America,26693.718
6,63290,Canada,CA,North America,26673.846
5,58924,Southeast,US,North America,26653.374
5,61230,Southeast,US,North America,26545.616
8,55305,Germany,DE,Europe,26517.84
4,49533,Southwest,US,North America,26461.1006
6,50698,Canada,CA,North America,26439.9864
9,51150,Australia,AU,Pacific,26328.5293
1,61241,Northwest,US,North America,26298.588
5,53551,Southeast,US,North America,26261.707
5,57162,Southeast,US,North America,26225.94
8,61249,Germany,DE,Europe,26203.836
6,50232,Canada,CA,North America,26154.5589
6,50246,Canada,CA,North America,26049.4939
10,61175,United Kingdom,GB,Europe,25882.74
6,49513,Canada,CA,North America,25725.4118
2,50311,Northeast,US,North America,25721.2332
1,53569,Northwest,US,North America,25690.4699
10,55236,United Kingdom,GB,Europe,25645.236
9,57127,Australia,AU,Pacific,25600.722
5,57126,Southeast,US,North America,25592.358
4,50749,Southwest,US,North America,25585.0564
4,57138,Southwest,US,North America,25527.645
4,63240,Southwest,US,North America,25411.362
6,63174,Canada,CA,North America,25409.34
9,58948,Australia,AU,Pacific,25386.132
9,53468,Australia,AU,Pacific,25283.1022
6,50295,Canada,CA,North America,25261.8384
1,59059,Northwest,US,North America,25137.276
5,63245,Southeast,US,North America,25106.754
7,58926,France,FR,Europe,25086.474
4,61264,Southwest,US,North America,25065.096
5,61217,Southeast,US,North America,24951.1148
1,59066,Northwest,US,North America,24889.164
6,53477,Canada,CA,North America,24830.4239
5,63293,Southeast,US,North America,24818.376
6,58925,Canada,CA,North America,24805.836
9,63222,Australia,AU,Pacific,24673.50
4,63251,Southwest,US,North America,24667.062
8,53615,Germany,DE,Europe,24518.1401
5,51108,Southeast,US,North America,24474.4816
8,63214,Germany,DE,Europe,24457.4665
6,57019,Canada,CA,North America,24430.38
10,61229,United Kingdom,GB,Europe,24336.0013
5,49495,Southeast,US,North America,24232.7654
4,53533,Southwest,US,North America,24213.5442
4,63280,Southwest,US,North America,24142.512
6,51704,Canada,CA,North America,24026.606
1,63156,Northwest,US,North America,24025.392
2,63200,Northeast,US,North America,24019.3814
7,63209,France,FR,Europe,23994.924
6,57082,Canada,CA,North America,23983.704
4,63212,Southwest,US,North America,23960.9846
6,50199,Canada,CA,North America,23863.0438
2,61219,Northeast,US,North America,23752.416
7,53525,France,FR,Europe,23624.4279
7,51168,France,FR,Europe,23566.0588
1,63249,Northwest,US,North America,23564.97
