SalesOrderID,ProductID,Month,Year,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,CustomerID,SubTotal
46125,749,Apr,2012,13-04-2012,08-04-2012,5,1,SO46125,11956,3578.27
46126,766,Apr,2012,13-04-2012,08-04-2012,5,1,SO46126,14883,699.0982
46127,766,Apr,2012,13-04-2012,08-04-2012,5,1,SO46127,14895,699.0982
46128,753,Apr,2012,13-04-2012,08-04-2012,5,1,SO46128,14945,3578.27
46129,752,Apr,2012,13-04-2012,08-04-2012,5,1,SO46129,20420,3578.27
46130,750,Apr,2012,14-04-2012,09-04-2012,5,1,SO46130,12171,3578.27
46131,751,Apr,2012,14-04-2012,09-04-2012,5,1,SO46131,11954,3578.27
46132,753,Apr,2012,14-04-2012,09-04-2012,5,1,SO46132,23865,3578.27
46133,751,Apr,2012,14-04-2012,09-04-2012,5,1,SO46133,12105,3578.27
46134,751,Apr,2012,14-04-2012,09-04-2012,5,1,SO46134,20259,3578.27
46135,752,Apr,2012,14-04-2012,09-04-2012,5,1,SO46135,20416,3578.27
46136,751,Apr,2012,14-04-2012,09-04-2012,5,1,SO46136,20426,3578.27
46137,752,Apr,2012,14-04-2012,09-04-2012,5,1,SO46137,20600,3578.27
46138,750,Apr,2012,14-04-2012,09-04-2012,5,1,SO46138,13405,3578.27
46139,774,Apr,2012,14-04-2012,09-04-2012,5,1,SO46139,11977,3399.99
46140,777,Apr,2012,14-04-2012,09-04-2012,5,1,SO46140,11991,3374.99
46141,759,Apr,2012,15-04-2012,10-04-2012,5,1,SO46141,19501,699.0982
46142,750,Apr,2012,15-04-2012,10-04-2012,5,1,SO46142,24310,3578.27
46143,774,Apr,2012,15-04-2012,10-04-2012,5,1,SO46143,26090,3399.99
46144,777,Apr,2012,15-04-2012,10-04-2012,5,1,SO46144,26094,3374.99
46145,769,Apr,2012,15-04-2012,10-04-2012,5,1,SO46145,14881,699.0982
46146,772,Apr,2012,16-04-2012,11-04-2012,5,1,SO46146,11421,3399.99
46147,759,Apr,2012,16-04-2012,11-04-2012,5,1,SO46147,19476,699.0982
46148,749,Apr,2012,16-04-2012,11-04-2012,5,1,SO46148,12052,3578.27
46149,750,Apr,2012,16-04-2012,11-04-2012,5,1,SO46149,12120,3578.27
46150,767,Apr,2012,16-04-2012,11-04-2012,5,1,SO46150,20569,699.0982
46151,778,Apr,2012,16-04-2012,11-04-2012,5,1,SO46151,26082,3374.99
46152,753,Apr,2012,16-04-2012,11-04-2012,5,1,SO46152,20424,3578.27
46153,761,Apr,2012,16-04-2012,11-04-2012,5,1,SO46153,25928,699.0982
46154,776,Apr,2012,16-04-2012,11-04-2012,5,1,SO46154,11989,3374.99
46155,749,Apr,2012,17-04-2012,12-04-2012,5,1,SO46155,12076,3578.27
46156,753,Apr,2012,17-04-2012,12-04-2012,5,1,SO46156,12118,3578.27
46157,772,Apr,2012,17-04-2012,12-04-2012,5,1,SO46157,26056,3399.99
46158,759,Apr,2012,17-04-2012,12-04-2012,5,1,SO46158,25926,699.0982
46159,778,Apr,2012,17-04-2012,12-04-2012,5,1,SO46159,11996,3374.99
46160,778,Apr,2012,18-04-2012,13-04-2012,5,1,SO46160,11412,3374.99
46161,750,Apr,2012,18-04-2012,13-04-2012,5,1,SO46161,12819,3578.27
46162,752,Apr,2012,18-04-2012,13-04-2012,5,1,SO46162,12163,3578.27
46163,751,Apr,2012,18-04-2012,13-04-2012,5,1,SO46163,12042,3578.27
46164,751,Apr,2012,18-04-2012,13-04-2012,5,1,SO46164,12079,3578.27
46165,749,Apr,2012,18-04-2012,13-04-2012,5,1,SO46165,12141,3578.27
46166,752,Apr,2012,18-04-2012,13-04-2012,5,1,SO46166,15657,3578.27
46167,774,Apr,2012,18-04-2012,13-04-2012,5,1,SO46167,11997,3399.99
46168,766,Apr,2012,18-04-2012,13-04-2012,5,1,SO46168,25936,699.0982
46169,752,Apr,2012,18-04-2012,13-04-2012,5,1,SO46169,12094,3578.27
46170,751,Apr,2012,19-04-2012,14-04-2012,5,1,SO46170,12156,3578.27
46171,749,Apr,2012,19-04-2012,14-04-2012,5,1,SO46171,24342,3578.27
46172,749,Apr,2012,19-04-2012,14-04-2012,5,1,SO46172,12030,3578.27
46173,750,Apr,2012,19-04-2012,14-04-2012,5,1,SO46173,20283,3578.27
46174,750,Apr,2012,19-04-2012,14-04-2012,5,1,SO46174,20608,3578.27
46175,776,Apr,2012,19-04-2012,14-04-2012,5,1,SO46175,12003,3374.99
46176,776,Apr,2012,20-04-2012,15-04-2012,5,1,SO46176,11491,3374.99
46177,751,Apr,2012,20-04-2012,15-04-2012,5,1,SO46177,12102,3578.27
46178,766,Apr,2012,20-04-2012,15-04-2012,5,1,SO46178,25937,699.0982
46179,752,Apr,2012,21-04-2012,16-04-2012,5,1,SO46179,11983,3578.27
46180,749,Apr,2012,21-04-2012,16-04-2012,5,1,SO46180,12084,3578.27
46181,775,Apr,2012,21-04-2012,16-04-2012,5,1,SO46181,12004,3374.99
46182,773,Apr,2012,21-04-2012,16-04-2012,5,1,SO46182,11995,3399.99
46183,778,Apr,2012,22-04-2012,17-04-2012,5,1,SO46183,28492,3374.99
46184,750,Apr,2012,22-04-2012,17-04-2012,5,1,SO46184,14834,3578.27
46185,753,Apr,2012,22-04-2012,17-04-2012,5,1,SO46185,15632,3578.27
46186,749,Apr,2012,22-04-2012,17-04-2012,5,1,SO46186,12041,3578.27
46187,752,Apr,2012,22-04-2012,17-04-2012,5,1,SO46187,24235,3578.27
46188,749,Apr,2012,22-04-2012,17-04-2012,5,1,SO46188,20430,3578.27
46189,751,Apr,2012,22-04-2012,17-04-2012,5,1,SO46189,20606,3578.27
46190,751,Apr,2012,22-04-2012,17-04-2012,5,1,SO46190,15653,3578.27
46191,749,Apr,2012,22-04-2012,17-04-2012,5,1,SO46191,14956,3578.27
46192,753,Apr,2012,23-04-2012,18-04-2012,5,1,SO46192,12830,3578.27
46193,770,Apr,2012,23-04-2012,18-04-2012,5,1,SO46193,18634,699.0982
46194,752,Apr,2012,23-04-2012,18-04-2012,5,1,SO46194,11939,3578.27
46195,753,Apr,2012,23-04-2012,18-04-2012,5,1,SO46195,12027,3578.27
46196,749,Apr,2012,23-04-2012,18-04-2012,5,1,SO46196,12109,3578.27
46197,774,Apr,2012,23-04-2012,18-04-2012,5,1,SO46197,26061,3399.99
46198,771,Apr,2012,23-04-2012,18-04-2012,5,1,SO46198,26089,3399.99
46199,753,Apr,2012,23-04-2012,18-04-2012,5,1,SO46199,20256,3578.27
46200,749,Apr,2012,23-04-2012,18-04-2012,5,1,SO46200,20260,3578.27
46201,753,Apr,2012,23-04-2012,18-04-2012,5,1,SO46201,20610,3578.27
46202,759,Apr,2012,23-04-2012,18-04-2012,5,1,SO46202,25935,699.0982
46203,773,Apr,2012,23-04-2012,18-04-2012,5,1,SO46203,11999,3399.99
46204,775,Apr,2012,23-04-2012,18-04-2012,5,1,SO46204,11988,3374.99
46205,752,Apr,2012,24-04-2012,19-04-2012,5,1,SO46205,12162,3578.27
46206,775,Apr,2012,24-04-2012,19-04-2012,5,1,SO46206,20023,3374.99
46207,775,Apr,2012,24-04-2012,19-04-2012,5,1,SO46207,26091,3374.99
46208,750,Apr,2012,24-04-2012,19-04-2012,5,1,SO46208,20284,3578.27
46209,751,Apr,2012,24-04-2012,19-04-2012,5,1,SO46209,12849,3578.27
46210,752,Apr,2012,24-04-2012,19-04-2012,5,1,SO46210,12866,3578.27
